,UNKNOWN,AAK1,ABL1-nonphosphorylated,ABL1-phosphorylated,ABL2,ACVR1,ACVR1B,ACVR2A,ACVR2B,ACVRL1,ADCK3,ADCK4,AKT1,AKT2,AKT3,ALK,AMPK-alpha1,AMPK-alpha2,ANKK1,ARK5,ASK1,ASK2,AURKA,AURKB,AURKC,AXL,BIKE,BLK,BMPR1A,BMPR1B,BMPR2,BMX,BRAF,BRK,BRSK1,BRSK2,BTK,CAMK1,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CASK,CDC2L1,CDC2L2,CDC2L5,CDK11,CDK2,CDK3,CDK4-cyclinD1,CDK4-cyclinD3,CDK5,CDK7,CDK8,CDK9,CDKL1,CDKL2,CDKL3,CDKL5,CHEK1,CHEK2,CIT,CLK1,CLK2,CLK3,CLK4,CSF1R,CSK,CSNK1A1,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,CSNK2A1,CSNK2A2,CTK,DAPK1,DAPK2,DAPK3,DCAMKL1,DCAMKL2,DCAMKL3,DDR1,DDR2,DLK,DMPK,DMPK2,DRAK1,DRAK2,DYRK1A,DYRK1B,DYRK2,EGFR,EIF2AK1,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,EPHB6,ERBB2,ERBB3,ERBB4,ERK1,ERK2,ERK3,ERK4,ERK5,ERK8,ERN1,FAK,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1,FLT3,FLT4,FRK,FYN,GAK,"GCN2(Kin.Dom.2,S808G)",GRK1,GRK4,GRK7,GSK3A,GSK3B,HCK,HIPK1,HIPK2,HIPK3,HIPK4,HPK1,HUNK,ICK,IGF1R,IKK-alpha,IKK-beta,IKK-epsilon,INSR,INSRR,IRAK1,IRAK3,IRAK4,ITK,JAK1(JH1domain-catalytic),JAK1(JH2domain-pseudokinase),JAK2(JH1domain-catalytic),JAK3(JH1domain-catalytic),JNK1,JNK2,JNK3,KIT,LATS1,LATS2,LCK,LIMK1,LIMK2,LKB1,LOK,LRRK2,LTK,LYN,LZK,MAK,MAP3K1,MAP3K15,MAP3K2,MAP3K3,MAP3K4,MAP4K2,MAP4K3,MAP4K4,MAP4K5,MAPKAPK2,MAPKAPK5,MARK1,MARK2,MARK3,MARK4,MAST1,MEK1,MEK2,MEK3,MEK4,MEK5,MEK6,MELK,MERTK,MET,MINK,MKK7,MKNK1,MKNK2,MLCK,MLK1,MLK2,MLK3,MRCKA,MRCKB,MST1,MST1R,MST2,MST3,MST4,MTOR,MUSK,MYLK,MYLK2,MYLK4,MYO3A,MYO3B,NDR1,NDR2,NEK1,NEK11,NEK2,NEK3,NEK4,NEK5,NEK6,NEK7,NEK9,NIM1,NLK,OSR1,p38-alpha,p38-beta,p38-delta,p38-gamma,PAK1,PAK2,PAK3,PAK4,PAK6,PAK7,PCTK1,PCTK2,PCTK3,PDGFRA,PDGFRB,PDPK1,PFCDPK1(P.falciparum),PFPK5(P.falciparum),PFTAIRE2,PFTK1,PHKG1,PHKG2,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK4CB,PIM1,PIM2,PIM3,PIP5K1A,PIP5K1C,PIP5K2B,PIP5K2C,PKAC-alpha,PKAC-beta,PKMYT1,PKN1,PKN2,PKNB(M.tuberculosis),PLK1,PLK2,PLK3,PLK4,PRKCD,PRKCE,PRKCH,PRKCI,PRKCQ,PRKD1,PRKD2,PRKD3,PRKG1,PRKG2,PRKR,PRKX,PRP4,PYK2,QSK,RAF1,RET,RIOK1,RIOK2,RIOK3,RIPK1,RIPK2,RIPK4,RIPK5,ROCK1,ROCK2,ROS1,RPS6KA4(Kin.Dom.1-N-terminal),RPS6KA4(Kin.Dom.2-C-terminal),RPS6KA5(Kin.Dom.1-N-terminal),RPS6KA5(Kin.Dom.2-C-terminal),RSK1(Kin.Dom.1-N-terminal),RSK1(Kin.Dom.2-C-terminal),RSK2(Kin.Dom.1-N-terminal),RSK3(Kin.Dom.1-N-terminal),RSK3(Kin.Dom.2-C-terminal),RSK4(Kin.Dom.1-N-terminal),RSK4(Kin.Dom.2-C-terminal),S6K1,SBK1,SgK110,SGK3,SIK,SIK2,SLK,SNARK,SNRK,SRC,SRMS,SRPK1,SRPK2,SRPK3,STK16,STK33,STK35,STK36,STK39,SYK,TAK1,TAOK1,TAOK2,TAOK3,TBK1,TEC,TESK1,TGFBR1,TGFBR2,TIE1,TIE2,TLK1,TLK2,TNIK,TNK1,TNK2,TNNI3K,TRKA,TRKB,TRKC,TRPM6,TSSK1B,TTK,TXK,TYK2(JH1domain-catalytic),TYK2(JH2domain-pseudokinase),TYRO3,ULK1,ULK2,ULK3,VEGFR2,VRK2,WEE1,WEE2,YANK1,YANK2,YANK3,YES,YSK1,YSK4,ZAK,ZAP70
Brivanib (BMS-540215),13.04347826,0,31.25,43.86,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.46,22.73,0,0,0,0,0,26.32,0,0,0,0,0,0,0,0,0,0,0,0,0,83.47,81.97,75.76,45.45,0,98.04,0,89.93,0,0,0,0,0,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.28,0,0,31.25,0,0,0,69.44,0,0,0,0,0,0,0,0,0,0,0,0,45.87,26.32,0,0,0,0,0,0,0,0,0,0,0,13.89,0,0,0,0,61.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.85,90.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.18,0,0,0,0,14.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.63,0,0,23.81,0,0,0,0,0,13.51,95.06,0,0,0,0,0,0,0,0,0,0,0,0,31.25,53.19,0,0,75.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.01,0,0,0,0,11.36,0,0,0,50,0,0
Cediranib (AZD2171),-23.91304348,0,83.33,86.51,40.65,12.82,25,0,0,0,0,0,0,0,0,17.86,0,0,0,0,0,0,0,13.51,19.23,50.51,0,80.65,0,0,0,0,0,47.17,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.47,0,0,0,0,15.15,0,0,0,0,0,0,0,0,0,0,0,0,99.66,91.24,0,0,0,0,0,0,0,0,68.49,13.89,8.77,0,11.9,0,0,93.28,44.64,8.62,0,0,0,31.25,69.44,14.29,73.53,26.32,0,0,0,0,0,0,49.5,0,0,0,90.42,93.46,95.6,36.76,31.25,99.85,0,99.15,40.98,29.41,22.73,0,0,0,0,0,0,45.87,0,0,0,0,35.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.92,0,0,88.18,0,0,0,95.6,0,10.42,64.94,0,0,0,0,0,0,0,48.08,20,20,83.33,0,0,0,0,0,0,0,0,13.89,0,0,25,0,0,16.13,57.47,48.08,0,0,0,0,0,0,0,0,0,10.42,14.71,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.92,99.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.79,0,0,0,0,83.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23,95.79,0,0,86.06,0,0,0,0,0,48.08,98.93,0,0,0,0,0,7.81,9.09,0,0,0,22.73,0,63.29,78.13,0,0,38.17,0,0,0,0,0,0,0,0,0,0,0,0,37.59,0,0,0,99.78,0,0,0,0,0,0,65.79,0,66.67,0,0
CEP-701,96.52173913,99.38,13.51,33.33,7.14,86.96,85.32,16.67,11.63,18.52,0,0,10.2,19.23,7.46,87.57,95.24,89.93,93.98,99.27,87.72,74.63,96.9,96.9,99.19,93.46,96.9,75.76,34.48,89.77,25,71.43,0,22.73,95.24,96.9,88.34,79.37,91.41,51.55,98.04,89.45,98.27,95.06,14.29,95.6,97.09,60.24,0,0,33.33,0,96.15,54.35,94.34,93.46,54.95,85.18,5.88,48.54,50.51,92.08,53.76,98.04,99.44,70.42,85.47,98.12,91.91,0,99.4,81.97,65.79,0,6.58,0,0,0,0,0,16.13,34.01,34.01,86.21,88.81,85.91,0,10,31.25,49.5,55.56,37.31,67.57,16.67,99.32,99.01,96.15,94.52,95.79,31.25,0,56.82,38.76,75.76,22.73,7.81,29.41,65.79,0,8.77,6.76,0,6.76,83.61,0,8.33,26.32,4.85,0,0,0,31.25,99.03,98.87,31.25,94.7,57.47,61.73,43.1,46.3,21.74,90.58,80.65,98.33,96.71,40.32,85.62,98.56,99.19,95.42,97.66,98.58,17.86,27.78,64.94,45.87,57.47,66.67,76.92,92.94,46.73,92.76,10.64,98.23,97.66,97.85,31.25,21.74,98.79,96.9,99.66,63.29,98.27,0,99.27,99.54,97.85,60.98,97.66,76.92,94.34,99.8,53.76,23.81,0,89.77,98.87,99.29,50.51,72.46,59.52,22.73,10.2,99.32,99.05,98.81,16.13,99.07,81.97,95.6,92.08,68.49,34.97,85.76,97.28,91.07,80.65,96.34,99.3,99.23,99.01,99.25,98.62,91.91,95.06,93.98,63.29,99.29,86.21,89.93,99.72,97.66,99.3,97.09,96.53,5.15,33.33,99.4,5.75,99.52,39.68,68.49,0,10.87,97.47,89.93,94.52,65.79,39.37,69.44,57.47,16.67,0,9.26,0,0,8.2,10.2,11.11,8.47,21.74,39.37,5.88,0,0,12.5,57.47,94.34,92.08,93.46,95.42,98.06,95.42,94.88,40.98,0,58.82,94.52,99.32,98.89,8.2,27.78,40.98,99.92,99.66,8.77,68.49,9.26,6.94,11.11,58.82,63.29,71.43,66.67,96.53,93.28,0,96.53,0,69.44,75.76,0,98.95,99.64,90.09,69.44,60.24,17.86,99.7,67.57,75.76,78.13,21.74,83.33,97.28,98.41,98.25,57.47,95.24,80.65,92.25,47.62,92.42,80.65,0,96.15,98.23,6.94,98.48,0,43.86,97.47,98.95,89.93,87.57,95.06,88.97,27.78,92.25,34.25,94.7,17.24,63.29,85.03,29.41,81.97,5.21,87.87,71.43,80.65,98.85,85.91,97.09,93.46,99.8,0,43.86,37.88,98.04,90.74,97.47,96.34,95.06,38.17,11.63,31.25,98.14,99.42,87.72,50,85.32,96.53,29.41,63.29,80.65,48.08,42.37,44.25,81.97,88.65,98.93,98.17,98.7,19.23,98.37,97.28,97.28,0,83.61,98.72,43.1,97.09,35.46,43.48,33.33,89.29,99.03,69.44,0,29.41,5.95,19.23,7.81,5.88,75.76,83.75,99.9,6.94,96.9
CI-1033,-13.47826087,0,70.42,94.34,36.5,22.73,0,0,0,0,25,12.82,0,0,0,6.1,0,0,0,0,0,0,0,10.64,15.15,8.06,11.63,91.74,0,16.13,0,16.13,0,11.63,0,0,23.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,0,0,0,0,0,7.58,0,0,9.8,54.35,0,0,0,0,0,0,0,0,0,0,0,0,55.56,0,0,6.67,0,0,6.41,25,0,6.94,99.96,0,16.67,0,19.23,12.2,29.41,64.94,0,20,25,15.63,0,21.74,43.86,89.93,70.42,98.72,0,0,22.73,8.47,0,0,0,0,0,0,0,0,0,0,15.15,6.25,15.63,0,12.82,8.62,83.33,0,0,0,0,0,0,10.64,0,0,0,31.25,0,7.25,0,0,0,0,0,0,0,52.63,14.29,29.41,8.2,0,0,0,44.25,0,31.25,8.33,6.02,0,0,60.98,0,0,0,20.83,50,8.93,38.17,0,0,0,0,11.63,17.86,5.62,60.24,0,0,16.13,0,0,0,0,0,0,0,21.74,23.81,0,0,89.29,0,0,0,8.2,19.23,81.97,65.79,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,10.64,5.62,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,9.26,21.74,0,0,31.25,6.94,0,0,0,0,0,14.71,10,0,0,13.16,0,0,0,0,25,13.51,4.95,38.46,18.52,0,0,0,5.75,0,0,8.2,0,0,0,0,0,0,41.67,0,0,33.33,0,0,9.62,0,0,0,0,0,0,0,23.81,0,41.67,29.41,0
Crizotinib (PF-02341066),-57.82608696,17.86,86.51,81.97,52.08,53.19,36.76,0,0,0,0,31.25,0,0,0,99.34,17.24,0,39.06,0,0,0,65.79,86.81,10.42,98.46,40.32,81.97,0,68.49,0,12.2,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,25,78.13,39.68,54.35,0,0,0,0,0,0,0,60.24,0,0,0,19.23,0,0,0,0,0,0,0,0,0,70.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.24,57.47,0,49.5,0,74.63,26.32,0,0,0,0,0,11.11,0,0,78.13,83.33,41.67,58.14,33.33,88.5,51.55,64.1,80.65,0,0,46.73,98.81,0,0,0,0,0,0,0,49.5,0,0,61.73,64.94,52.63,0,0,15.63,0,42.74,17.86,37.04,0,14.71,27.78,0,0,0,10.64,0,0,0,0,0,0,0,12.2,92.76,0,0,39.06,0,8.33,41.32,59.52,45.45,91.07,94.16,12.2,20,60.24,0,63.29,71.43,0,0,0,0,0,0,94.34,37.59,42.02,0,91.91,0,97.66,34.72,68.49,0,31.25,15.15,87.41,81.97,0,86.21,86.96,0,86.36,0,0,0,0,0,0,0,0,0,13.16,0,0,0,0,99.29,99.58,10.2,0,0,0,0,0,0,0,0,0,46.3,95.24,33.56,0,15.15,0,68.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,38.76,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,0,0,0,0,0,0,0,0,0,0,0,89.29,0,0,0,0,0,33.56,0,49.5,0,0,31.25,0,0,72.46,0,0,0,7.58,0,11.11,23.81,35.71,19.23,52.63,11.9,13.16,99.19,0,0,0,0,0,0,0,0,0,0,0,43.86,27.78,67.57,0,0,71.43,96.53,80.65,0,47.17,0,21.74,0,5.75,0,0,45.05,0,0,16.67,21.74,29.41,35.71,50.51,42.02,0,56.82,33.33,0,81.97,64.94,0,0,0,60.98,39.68,81.97,84.03,93.11,85.91,0,0,0,37.04,70.42,20,38.46,33.33,23.81,6.94,0,0,0,0,0,0,0,39.37,0,33.78,0,10.64
Dasatinib,15.2173913,0,99.99,99.99,99.97,44.64,60.24,70.42,46.73,52.08,72.46,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,99.96,6.67,90.42,0,99.72,50,98.46,0,0,99.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.88,99.8,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,99.86,99.36,0,27.78,29.41,0,0,0,0,0,80.65,0,99.19,99.83,99.98,99.76,99.95,19.23,0,99.95,99.91,99.92,98.64,99.93,99.99,26.32,96.53,90.09,0,0,0,0,0,0,0,0,0,0,11.9,26.32,11.36,0,99.9,9.09,9.43,0,99.94,99.84,99.48,23.81,0,0,0,0,0,99.93,0,0,0,0,33.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,43.86,0,0,0,99.84,0,0,99.96,46.73,85.32,0,29.41,0,0,99.89,8.62,0,0,0,78.13,64.1,61.73,27.78,43.86,13.89,91.74,0,0,0,0,0,0,0,33.33,26.32,0,0,99.34,0,0,0,0,53.76,0,0,0,0,0,0,0,20,19.23,11.63,0,0,0,20.83,0,0,0,12.5,0,0,0,0,0,0,51.55,7.14,0,0,0,0,0,0,0,65.79,0,94.88,54.95,0,0,0,0,0,0,0,0,0,0,0,99.91,99.87,0,43.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.7,46.73,40.65,0,0,0,0,94.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41,0,0,99.23,98.74,40.98,0,0,99.96,97.47,0,0,0,0,0,39.37,70.42,0,14.71,11.9,0,8.47,17.86,0,97.47,93.81,68.49,14.71,0,0,0,0,20,0,98.89,97.85,0,0,0,0,0,0,99.58,21.74,81.97,0,0,0,9.8,14.71,13.51,6.67,71.43,0,0,0,99.94,12.82,86.36,91.74,0
"Dovitinib (TKI-258, CHIR-258)",7.826086957,74.63,83.33,90.25,0,0,0,0,0,0,0,0,0,0,0,12.5,49.02,37.88,86.36,67.57,0,0,0,64.1,31.25,11.63,90.25,72.46,0,0,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,0,0,0,0,0,0,0,0,29.41,14.71,0,16.13,0,0,0,73.53,0,0,29.41,0,5.75,6.85,22.73,0,7.14,89.29,0,0,0,0,0,0,0,0,16.13,71.43,0,0,0,0,0,0,27.78,16.67,5.49,19.23,0,0,37.59,21.74,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.44,0,0,0,0,0,0,0,0,0,0,0,0,0,76.92,54.95,68.49,10.42,72.46,87.87,99.87,46.3,17.86,53.19,50.51,66.67,18.52,83.75,27.78,0,58.82,13.16,10.64,50,8.93,0,91.91,54.95,0,0,21.74,0,51.02,0,0,74.63,0,79.37,48.54,0,56.82,79.37,54.95,0,0,0,98.52,22.73,48.54,66.67,0,0,11.9,47.62,25,0,40,74.63,0,0,0,87.57,0,8.33,20.83,47.17,75.76,44.64,0,0,17.86,25,12.82,22.73,92.59,49.02,58.82,0,0,93.98,0,23.81,21.74,0,98.21,0,0,0,99.6,4.81,0,18.52,0,0,71.43,0,51.02,53.76,48.08,0,37.59,12.5,84.46,86.21,0,0,43.1,0,0,0,20,0,15.63,17.86,25,8.2,5.21,37.04,0,0,0,0,0,0,0,0,39.37,0,0,0,53.76,14.29,5.62,90.25,99.25,0,45.05,0,0,0,43.86,5.26,0,0,0,0,0,0,0,0,0,0,20.83,10.42,65.79,0,0,0,0,73.53,4.81,62.5,0,46.73,0,0,0,0,0,0,13.51,0,0,0,0,0,15.15,0,47.17,0,0,0,87.57,54.35,65.79,42.02,60.98,0,0,0,39.68,13.89,0,45.87,0,42.37,0,52.63,0,8.2,61.73,0,9.8,0,46.73,25,0,34.25,0,11.9,62.5,79.37,0,21.74,0,54.35,63.29,66.67,25,0,0,0,48.54,0,44.25,0,0,0,79.37,0,0,0,0,11.11,0,0,16.13,95.42,0,0,0,83.33,40.98,72.46,0,0,0,0,76.92,18.52,5.1,90.09,90.25,74.63,88.03,0,29.41,0,0,0,0,46.3,29.41,97.66,0,0
Enzastaurin (LY317615),-13.04347826,15.63,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,9.09,0,0,0,0,0,0,0,13.16,14.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15,0,0,0,6.94,0,0,0,0,0,9.09,31.25,0,0,0,16.13,0,27.78,0,12.82,0,0,0,0,0,49.5,53.76,0,23.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.52,0,39.68,0,75.76,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.81,0,0,0,0,11.11,0,0,0,0,0,60.24,11.63,0,0,0,0,22.73,0,27.78,0,98.37,0,33.33,40.98,0,29.41,21.74,0,42.37,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,15.15,12.5,0,0,0,0,0,0,0,0,0,0,0,20.83,0,6.76,0,0,0,0,68.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42,0,0,0,8.62,0,0,0,13.16,0,0,0,9.26,25,10.64,0,0,0,0,0,0,0,0,71.43,36.5,31.25,0,7.04,0,0,60.24,45.87,0,8.93,0,0,0,0,0,0,95.24,98.25,91.58,0,93.28,0,0,0,31.25,74.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,57.47,0,23.81,0,85.18,69.44,0,95.24,0,21.74,0,0,0,0,0,13.89,10.87,0,0,0,0,0,0,16.67,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5,26.32,0,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81,0,0
Erlotinib,25.2173913,29.41,60.24,86.81,71.43,0,0,0,0,0,20.83,16.67,0,0,0,29.41,0,0,0,0,0,0,18.52,26.32,45.45,11.11,29.41,72.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.37,0,0,0,0,0,4.95,0,0,12.5,50,0,0,0,0,0,0,0,0,7.69,0,0,0,38.76,0,0,14.71,12.82,7.35,5.05,0,0,27.78,99.87,0,0,0,17.24,0,41.32,53.19,26.32,34.72,31.25,0,0,18.52,22.73,14.71,31.25,68.49,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,31.25,10.2,29.41,19.23,20,0,99.38,10.2,0,6.41,0,0,0,21.74,0,0,0,34.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,41.67,0,20,10.42,22.73,0,0,66.67,0,0,0,96.34,14.71,35.97,48.54,0,0,0,0,16.67,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.89,0,0,33.78,11.63,27.78,0,42.02,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,26.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,20.83,0,0,0,0,0,0,0,0,0,0,27.78,0,0,0,0,0,27.78,0,0,0,0,42.37,9.26,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,29.41,0,0,0,16.13,95.06,0,0,41.67,0,0,0,5.68,0,0,0,10.2,0,0,0,0,0,0,13.89,0,0,0,0,37.04,0,0,0,10,44.25,0,46.73,0,0,0,0,0,11.9,11.63,0,17.24,11.36,0,0,35.21,8.06,0,0,0,0,0,0,18.52,0,95.24,0,0
Flavopiridol (Alvocidib),23.47826087,8.62,12.82,25,0,20.83,0,13.89,17.24,10,0,0,0,0,0,42.74,0,0,0,0,0,0,0,0,0,12.5,0,0,0,52.63,0,0,0,0,0,0,0,0,0,0,22.73,9.62,23.81,16.13,13.51,86.36,53.76,0,0,0,53.76,89.77,47.62,54.95,98.23,99.34,81.97,95.6,80.65,98.74,0,0,0,98.6,0,0,81.97,22.73,18.52,23.81,0,15.15,0,13.89,17.24,0,0,29.41,0,0,0,0,0,0,0,0,19.23,0,31.25,0,0,0,43.48,0,10.87,20.83,86.66,85.62,0,11.9,36.5,17.86,16.67,13.16,0,12.5,0,0,0,25,0,0,0,0,0,5.15,9.09,0,0,0,0,44.64,60.24,0,0,0,0,0,0,0,0,0,0,0,0,29.41,0,57.47,0,43.48,0,33.78,27.78,40.65,0,6.85,10.64,10.42,20,13.16,0,99.86,0,0,0,13.89,0,0,48.08,0,25,0,0,0,8.33,23.81,23.81,0,8.33,0,0,0,0,0,0,0,0,33.33,18.52,0,0,94.7,0,0,7.58,4.81,0,84.89,10,0,0,0,0,0,0,0,0,0,0,0,29.41,17.86,73.53,0,0,6.85,0,27.78,0,0,13.51,0,8.06,8.77,0,5,13.16,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.19,51.02,31.25,7.81,0,0,0,13.16,60.24,81.97,18.52,14.71,0,0,0,0,0,0,0,47.17,39.37,45.45,0,16.13,0,36.5,0,0,0,12.5,0,0,0,0,0,5.62,45.87,56.82,58.82,0,58.82,49.02,31.25,74.63,0,0,8.77,0,0,13.89,0,0,0,0,0,0,0,0,0,10.64,29.41,25,0,27.78,0,0,0,17.86,40.98,33.33,10.42,25,19.23,38.46,11.9,0,0,0,0,0,0,26.32,0,0,26.32,0,0,0,0,22.73,52.63,0,0,0,14.71,78.13,66.67,83.47,51.55,0,0,0,8.2,0,0,0,0,0,0,0,90.09,0,0,0,0,0,0,0,73.53,93.46,0,0,51.55,0,0,88.81,0,0,8.33,0,0,0,0,0,0,0
