,UNKNOWN,FES,ABL2,BMX,TEC,IGF1R,TYK2,ZAK,STK39,STK24,MST4,MAP4K4,TNIK,SLK,STK10,PAK4,PKMYT1,CSNK1G1,CSNK1G3,VRK1,GSG2,PLK4,TLK1,ADRBK1,ADRBK2,GRK5,PDPK1,RPS6KA1,RPS6KA6,AKT3,STK38L,CDC42BPB,STK32A,CHEK2,DCLK1,PHKG2,CAMK2A,STK33,SNF1LK2,PRKAA1,PRKAA2,STK17A,STK17B,PIM2,PIM3,PIM1,NEK1,NEK2,CAMKK2,STK16,GAK,AAK1,CDK9,CDK2,PCTK2,MAPK8,MAPK13,MAPK3,MAPK7,CDKL1,SRPK1,SRPK2,CLK3,CLK4,DYRK1A,DYRK2,CDC7,TTK,GUCY2D
SB-278538,2.325900851,0.06,0.45,-0.76,-0.8,-0.12,0,-1.26,-1.31,-0.41,0.86,-1.31,4.97,-0.18,-1.1,-0.06,-1.65,4.03,2.89,0.67,0.26,-0.6,-0.24,0.21,0.13,0.14,-0.27,0.55,0.36,-0.42,-0.2,-0.85,7.62,,0.09,-0.76,-0.07,-0.05,0.63,0.15,0.55,-1.02,-0.56,0.26,-0.36,-0.37,-0.66,-0.22,2.02,0.17,0.19,-0.24,-0.1,-0.42,0.95,0.28,-0.76,0.33,-0.13,-0.85,0.08,-0.23,-0.5,-0.14,0.75,-0.16,-0.76,0.29,-0.19
SB-278539,3.679538981,-0.16,0.25,-0.57,-0.86,-0.28,-0.01,-1.31,-2,-0.36,-0.29,-1.14,2.51,-0.07,-0.53,-0.15,-1.6,2.73,0.55,0.54,0.17,-0.74,0.25,0.1,0.01,-0.41,-0.48,0.24,0.09,-0.58,-0.43,-0.32,4.59,,-0.07,-0.84,0.15,-0.04,-0.42,0.06,0.38,-0.99,0,0.23,0.09,-0.12,-0.76,-0.05,0.24,0.18,0.01,-0.26,-0.03,-0.23,0.96,0.57,-0.84,-0.1,-0.45,-1.12,-0.03,-0.12,-0.55,0.5,0.81,-0.12,-0.95,0.37,-0.59
SB-285234-W,-1.037886535,-0.19,0.01,-0.31,0.25,0.35,0.08,1.76,-0.5,0.22,-0.25,0.27,0.23,0.25,-0.32,-0.33,0.67,1.95,0.37,-0.08,-0.27,-0.35,0.32,-0.22,-0.01,-0.48,0.15,0.35,0.01,0.01,-0.11,0.05,0.65,,0.16,-0.16,-0.16,-0.49,-0.58,-0.69,-0.63,0,0.13,0.29,-0.17,-0.25,1.2,1.12,-0.34,-0.38,0.2,0.02,-0.41,-0.36,-0.27,0,-0.18,0,0.02,-0.68,-0.25,-0.26,-0.01,0.04,,0,-0.36,-0.54,0.09
SB-333612,-0.110976233,0.52,1.93,0.49,0.82,0.08,0.76,0.27,0.33,0.2,-0.32,-1.11,0.51,0.81,-0.22,0.92,-0.81,1.77,1.42,0.32,0.18,2.33,-0.29,0.59,0.35,-1.84,-0.01,0.51,0.23,-0.04,-0.24,-0.56,-0.16,0.22,0.61,0.03,0.95,-0.21,-1.39,0.91,2.92,,0.36,-0.81,1.25,1.17,-0.02,-0.43,-0.71,3.64,-0.04,0.51,0.65,2.02,0.21,1.25,1.12,0.46,,0.39,0.22,-0.21,0.65,1.33,2.86,1.15,-0.4,0.25,0.27
SB-347804,-0.290378227,0.11,0.06,0.09,0.34,-0.19,-0.02,-0.27,-0.19,-0.05,0.22,-0.73,0.09,-0.51,0.52,-0.17,-0.25,0.06,-0.02,0.14,-0.23,-0.06,-0.07,0.26,0.05,1.86,-0.28,0.22,0.12,-0.09,-0.42,-0.32,-0.21,-0.03,0.01,-0.14,-0.02,0.24,-1.97,0.01,0.55,-0.55,0.04,0.63,0.41,0.05,-0.21,0.09,-0.09,0.42,-0.18,-0.09,-0.15,-0.09,0,0.34,-0.12,0.01,-0.16,-0.41,0.29,0.02,-0.06,0.61,1.12,0.24,-0.32,-0.09,-0.38
SB-358518,2.095118235,0.34,0.33,0.61,-0.06,0.17,0.58,0.03,0.65,0.95,0.64,0.25,-0.75,1.46,1.66,1.15,-0.12,0.9,0.41,-0.73,0.55,2.49,0.71,-0.25,0.11,-0.44,0.86,1.36,1.38,0,-0.33,0.44,0.25,0.07,0.05,-0.16,1.48,-1,1.7,0.26,2.44,0.04,0.13,1.04,1.45,1.06,0.11,-0.03,0.5,3.82,0.17,0.68,2.46,1.76,0.54,-0.08,0.61,-0.22,0.59,0.19,0.51,0.18,0.86,4.09,2.47,0.38,0.52,0.96,0.21
SB-360741,0.322578585,0.04,0.02,0.02,-1,-0.39,-0.46,-0.49,-0.49,-0.11,-0.02,-0.47,0.06,,-0.98,0.1,-0.17,-0.24,-0.25,-0.05,0.06,-0.12,-0.02,0.36,-0.51,-0.63,-0.35,-0.1,0.36,-0.42,-0.88,-1.41,-0.31,-0.5,0.07,-0.29,0.26,-0.19,-0.31,0.03,0.68,-1.23,-0.6,0.23,0.37,0.02,-0.29,0.21,0.06,2.06,-0.57,-0.14,0.08,0.03,0.07,0.16,-0.26,-0.42,-0.29,-0.09,0.19,-0.1,-0.47,1.6,0.93,0.14,-0.65,0.67,-0.78
SB-361058,0.890684899,0.26,0.36,0.23,-0.66,-0.15,-0.19,-0.18,-1.38,-0.49,0.22,-0.14,-0.26,1,-0.41,0.52,-0.78,0.61,-0.04,-0.2,-0.2,1.25,-0.01,-0.11,0.01,-1.14,0.09,1.58,1.1,-0.13,0.91,-0.08,-0.19,,0.18,-0.29,0.84,-0.93,0.31,0.61,1.72,2.22,-0.12,0.33,1.09,1.58,-0.52,-0.06,-0.46,3.47,-0.59,0.67,0.14,-0.09,-0.78,0.9,-0.31,0.13,0.67,0.12,0.41,-0.04,-0.19,2.2,-0.11,0.76,-0.47,-0.64,-0.45
SB-361058,-2.084398167,0.26,0.36,0.23,-0.66,-0.15,-0.19,-0.18,-1.38,-0.49,0.22,-0.14,-0.26,1,-0.41,0.52,-0.78,0.61,-0.04,-0.2,-0.2,1.25,-0.01,-0.11,0.01,-1.14,0.09,1.58,1.1,-0.13,0.91,-0.08,-0.19,,0.18,-0.29,0.84,-0.93,0.31,0.61,1.72,2.22,-0.12,0.33,1.09,1.58,-0.52,-0.06,-0.46,3.47,-0.59,0.67,0.14,-0.09,-0.78,0.9,-0.31,0.13,0.67,0.12,0.41,-0.04,-0.19,2.2,-0.11,0.76,-0.47,-0.64,-0.45
SB-376719,1.578459297,-0.03,0.49,0.27,-1.06,-0.55,-0.48,-0.23,0.03,2.5,1.45,-0.24,-0.14,,4.06,0.51,0.22,-0.43,-0.01,-0.26,-0.32,0.3,2.51,0.06,-0.49,0.19,0.16,-0.04,0.17,-0.34,-1.23,-0.9,-0.71,-0.24,0.21,-0.27,1.34,-0.5,4.97,0.39,1.58,-1.12,-0.77,0.16,0.24,0.03,-0.42,0.45,3.03,1.66,-0.56,1.88,3.29,1.39,1.5,-0.41,-0.54,-0.36,-0.26,-0.56,4.72,0,1.2,3.34,3.04,0.13,0.33,0.3,-0.77
